season;round;date;time;location;team1;team2;result1;result2;attendance
1970-1971;30.0;1971.06.27;17:30;Fáy utcai Stadion;Vasas SC;Újpesti Dózsa SC;2.0;1.0;5000.0
1970-1971;30.0;1971.06.27;17:30;Sóstói Stadion;Videoton SC;Salgótarjáni BTC;2.0;0.0;5000.0
1970-1971;30.0;1971.06.27;17:30;Béke téri Stadion;Csepel SC;Komlói Bányász SK;2.0;0.0;1000.0
1970-1971;30.0;1971.06.27;17:30;Vagongyári pálya;Rába Vasas ETO;Diósgyőri Vasgyárak TK;3.0;0.0;2200.0
1970-1971;30.0;1971.06.27;17:30;PVSK Stadion;Pécsi Dózsa SC;MTK;0.0;0.0;1500.0
1970-1971;30.0;1971.06.27;17:30;Bányász Stadion;Tatabányai Bányász SC;Budapesti Honvéd SE;2.0;2.0;6000.0
1970-1971;30.0;1971.06.27;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Szegedi EOL;1.0;0.0;3000.0
1970-1971;30.0;1971.06.27;17:30;Népstadion;Ferencvárosi TC;Dunaújvárosi Kohász SE;2.0;0.0;7000.0
1970-1971;29.0;1971.06.20;17:30;Hungária körúti Stadion;MTK;Rába Vasas ETO;1.0;1.0;4000.0
1970-1971;29.0;1971.06.20;17:30;Honvéd-pálya;Budapesti Honvéd SE;Vasas SC;1.0;1.0;15000.0
1970-1971;29.0;1971.06.20;17:30;Bányász Stadion;Komlói Bányász SK;Szombathelyi Haladás VSE;3.0;1.0;2000.0
1970-1971;29.0;1971.06.20;17:30;Kohász Stadion;Dunaújvárosi Kohász SE;Csepel SC;1.0;1.0;400.0
1970-1971;29.0;1971.06.20;17:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Salgótarjáni BTC;0.0;0.0;5000.0
1970-1971;29.0;1971.06.20;17:30;Bányász Stadion;Tatabányai Bányász SC;Pécsi Dózsa SC;4.0;0.0;4000.0
1970-1971;29.0;1971.06.20;17:30;Felső Tisza-parti stadion;Szegedi EOL;Ferencvárosi TC;3.0;5.0;8000.0
1970-1971;29.0;1971.06.20;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;Videoton SC;1.0;1.0;6000.0
1970-1971;28.0;1971.06.13;17:30;Fáy utcai Stadion;Vasas SC;MTK;0.0;3.0;6000.0
1970-1971;28.0;1971.06.13;17:30;PVSK Stadion;Pécsi Dózsa SC;Szegedi EOL;2.0;1.0;1500.0
1970-1971;28.0;1971.06.13;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Tatabányai Bányász SC;4.0;2.0;5000.0
1970-1971;28.0;1971.06.13;17:30;Népstadion;Ferencvárosi TC;Budapesti Honvéd SE;4.0;2.0;22000.0
1970-1971;28.0;1971.06.13;17:30;Kohász Stadion;Salgótarjáni BTC;Komlói Bányász SK;3.0;2.0;5000.0
1970-1971;28.0;1971.06.13;17:30;Sóstói Stadion;Videoton SC;Diósgyőri Vasgyárak TK;2.0;0.0;6000.0
1970-1971;28.0;1971.06.13;17:30;Béke téri Stadion;Csepel SC;Újpesti Dózsa SC;1.0;1.0;4000.0
1970-1971;28.0;1971.06.13;17:30;Vagongyári pálya;Rába Vasas ETO;Dunaújvárosi Kohász SE;2.0;0.0;3000.0
1970-1971;27.0;1971.06.05;17:00;Fáy utcai Stadion;Vasas SC;Szombathelyi Haladás VSE;3.0;0.0;3000.0
1970-1971;27.0;1971.06.05;17:30;Bányász Stadion;Komlói Bányász SK;Budapesti Honvéd SE;0.0;2.0;4000.0
1970-1971;27.0;1971.06.05;19:00;Megyeri úti Stadion;Újpesti Dózsa SC;Dunaújvárosi Kohász SE;8.0;0.0;5000.0
1970-1971;27.0;1971.06.05;19:00;Béke téri Stadion;Csepel SC;Pécsi Dózsa SC;0.0;1.0;2000.0
1970-1971;27.0;1971.06.06;16:30;Kohász Stadion;Salgótarjáni BTC;Szegedi EOL;1.0;0.0;5000.0
1970-1971;27.0;1971.06.06;16:30;DVTK Stadion;Diósgyőri Vasgyárak TK;MTK;1.0;0.0;5000.0
1970-1971;27.0;1971.06.06;17:30;Sóstói Stadion;Videoton SC;Tatabányai Bányász SC;2.0;1.0;6000.0
1970-1971;27.0;1971.06.06;17:30;Vagongyári pálya;Rába Vasas ETO;Ferencvárosi TC;1.0;1.0;12000.0
1970-1971;26.0;1971.05.29;19:00;Megyeri úti Stadion;Újpesti Dózsa SC;Ferencvárosi TC;0.0;1.0;20000.0
1970-1971;26.0;1971.05.30;16:00;Bányász Stadion;Komlói Bányász SK;Rába Vasas ETO;1.0;1.0;3000.0
1970-1971;26.0;1971.05.30;17:15;Sóstói Stadion;Videoton SC;Szombathelyi Haladás VSE;2.0;1.0;3000.0
1970-1971;26.0;1971.05.30;17:30;Kohász Stadion;Salgótarjáni BTC;Csepel SC;1.0;2.0;6000.0
1970-1971;26.0;1971.05.30;17:30;Honvéd-pálya;Budapesti Honvéd SE;Szegedi EOL;2.0;0.0;1500.0
1970-1971;26.0;1971.05.30;17:30;Hungária körúti Stadion;MTK;Tatabányai Bányász SC;1.0;0.0;2000.0
1970-1971;26.0;1971.05.30;17:30;Kohász Stadion;Dunaújvárosi Kohász SE;Pécsi Dózsa SC;2.0;2.0;500.0
1970-1971;26.0;1971.05.30;17:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Vasas SC;0.0;1.0;7000.0
1970-1971;25.0;1971.05.23;11:00;Béke téri Stadion;Csepel SC;Videoton SC;4.0;0.0;1500.0
1970-1971;25.0;1971.05.23;16:30;Felső Tisza-parti Stadion;Szegedi EOL;MTK;2.0;5.0;2000.0
1970-1971;25.0;1971.05.23;16:30;Népstadion;Ferencvárosi TC;Diósgyőri Vasgyárak TK;2.0;0.0;7000.0
1970-1971;25.0;1971.05.23;16:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Budapesti Honvéd SE;2.0;0.0;11000.0
1970-1971;25.0;1971.05.23;17:00;Vagongyári pálya;Rába Vasas ETO;Salgótarjáni BTC;3.0;0.0;5500.0
1970-1971;25.0;1971.05.23;17:30;Fáy utcai Stadion;Vasas SC;Komlói Bányász SK;6.0;1.0;2000.0
1970-1971;25.0;1971.05.23;17:30;Bányász Stadion;Tatabányai Bányász SC;Dunaújvárosi Kohász SE;1.0;0.0;5000.0
1970-1971;25.0;1971.05.23;17:30;PVSK Stadion;Pécsi Dózsa SC;Újpesti Dózsa SC;1.0;2.0;8000.0
1970-1971;24.0;1971.05.12;16:00;Kohász Stadion;Salgótarjáni BTC;Szombathelyi Haladás VSE;4.0;1.0;8000.0
1970-1971;24.0;1971.05.12;16:00;Kohász Stadion;Dunaújvárosi Kohász SE;Vasas SC;0.0;2.0;2000.0
1970-1971;24.0;1971.05.12;16:00;Bányász Stadion;Komlói Bányász SK;Videoton SC;0.0;0.0;4000.0
1970-1971;24.0;1971.05.12;17:00;Felső Tisza-parti Stadion;Szegedi EOL;Tatabányai Bányász SC;1.0;3.0;5000.0
1970-1971;24.0;1971.05.12;17:00;Honvéd-pálya;Budapesti Honvéd SE;Pécsi Dózsa SC;0.0;0.0;5000.0
1970-1971;24.0;1971.05.12;17:00;Hungária körúti Stadion;MTK;Ferencvárosi TC;1.0;1.0;28000.0
1970-1971;24.0;1971.05.12;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Csepel SC;0.0;0.0;5000.0
1970-1971;24.0;1971.05.12;19:00;Megyeri úti Stadion;Újpesti Dózsa SC;Rába Vasas ETO;1.0;0.0;10000.0
1970-1971;23.0;1971.05.08;16:00;Bányász Stadion;Komlói Bányász SK;Tatabányai Bányász SC;2.0;2.0;3000.0
1970-1971;23.0;1971.05.09;10:30;Béke téri Stadion;Csepel SC;Vasas SC;0.0;1.0;8000.0
1970-1971;23.0;1971.05.09;16:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Szegedi EOL;2.0;2.0;5000.0
1970-1971;23.0;1971.05.09;17:00;Sóstói Stadion;Videoton SC;Ferencvárosi TC;2.0;3.0;15000.0
1970-1971;23.0;1971.05.09;17:00;Kohász Stadion;Salgótarjáni BTC;Pécsi Dózsa SC;3.0;2.0;8000.0
1970-1971;23.0;1971.05.09;17:00;Kohász Stadion;Dunaújvárosi Kohász SE;MTK;2.0;1.0;1000.0
1970-1971;23.0;1971.05.09;17:00;Vagongyári pálya;Rába Vasas ETO;Szombathelyi Haladás VSE;2.0;1.0;6000.0
1970-1971;23.0;1971.05.09;20:00;Megyeri úti Stadion;Újpesti Dózsa SC;Budapesti Honvéd SE;3.0;2.0;18000.0
1970-1971;22.0;1971.05.01;16:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;MTK;2.0;2.0;10000.0
1970-1971;22.0;1971.05.01;16:00;Béke téri Stadion;Csepel SC;Rába Vasas ETO;2.0;1.0;3000.0
1970-1971;22.0;1971.05.01;17:00;Fáy utcai Stadion;Vasas SC;Videoton SC;0.0;1.0;8000.0
1970-1971;22.0;1971.05.01;17:00;Felső Tisza-parti Stadion;Szegedi EOL;Újpesti Dózsa SC;3.0;4.0;10000.0
1970-1971;22.0;1971.05.02;16:00;Bányász Stadion;Tatabányai Bányász SC;Diósgyőri Vasgyárak TK;4.0;0.0;6000.0
1970-1971;22.0;1971.05.02;17:00;Honvéd-pálya;Budapesti Honvéd SE;Dunaújvárosi Kohász SE;3.0;0.0;10000.0
1970-1971;22.0;1971.05.02;17:00;Népstadion;Ferencvárosi TC;Salgótarjáni BTC;0.0;1.0;20000.0
1970-1971;22.0;1971.05.02;17:00;PVSK Stadion;Pécsi Dózsa SC;Komlói Bányász SK;0.0;2.0;7000.0
1970-1971;21.0;1971.04.17;16:30;Kohász Stadion;Salgótarjáni BTC;Vasas SC;1.0;0.0;7000.0
1970-1971;21.0;1971.04.17;18:30;Megyeri úti Stadion;Újpesti Dózsa SC;Tatabányai Bányász SC;1.0;0.0;10000.0
1970-1971;21.0;1971.04.18;15:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Pécsi Dózsa SC;2.0;0.0;6000.0
1970-1971;21.0;1971.04.18;16:30;Béke téri Stadion;Csepel SC;Szombathelyi Haladás VSE;0.0;0.0;4000.0
1970-1971;21.0;1971.04.18;16:30;Sóstói Stadion;Videoton SC;Rába Vasas ETO;2.0;2.0;10000.0
1970-1971;21.0;1971.04.18;16:30;Hungária körúti Stadion;MTK;Budapesti Honvéd SE;2.0;2.0;20000.0
1970-1971;21.0;1971.04.18;16:30;Kohász Stadion;Dunaújvárosi Kohász SE;Szegedi EOL;2.0;4.0;1000.0
1970-1971;21.0;1971.04.18;16:30;Bányász Stadion;Komlói Bányász SK;Ferencvárosi TC;2.0;2.0;10000.0
1970-1971;20.0;1971.04.09;16:00;Népstadion;Ferencvárosi TC;Csepel SC;1.0;1.0;18000.0
1970-1971;20.0;1971.04.09;16:00;Fáy utcai Stadion;Vasas SC;Rába Vasas ETO;3.0;1.0;6000.0
1970-1971;20.0;1971.04.10;16:00;Hungária körúti Stadion;MTK;Újpesti Dózsa SC;0.0;1.0;8000.0
1970-1971;20.0;1971.04.11;15:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Dunaújvárosi Kohász SE;5.0;1.0;8000.0
1970-1971;20.0;1971.04.11;16:00;PVSK Stadion;Pécsi Dózsa SC;Videoton SC;1.0;0.0;8000.0
1970-1971;20.0;1971.04.11;16:00;Bányász Stadion;Tatabányai Bányász SC;Salgótarjáni BTC;4.0;0.0;6000.0
1970-1971;20.0;1971.04.11;16:00;Felső Tisza-parti Stadion;Szegedi EOL;Komlói Bányász SK;1.0;1.0;3000.0
1970-1971;20.0;1971.04.11;16:00;Kispesti Pálya;Budapesti Honvéd SE;Diósgyőri Vasgyárak TK;2.0;0.0;8000.0
1970-1971;19.0;1971.03.27;14:00;Kohász Stadion;Dunaújvárosi Kohász SE;Diósgyőri Vasgyárak TK;0.0;1.0;3000.0
1970-1971;19.0;1971.03.27;15:30;Népstadion;Ferencvárosi TC;Vasas SC;1.0;0.0;35000.0
1970-1971;19.0;1971.03.28;11:00;Hungária körúti Stadion;MTK;Komlói Bányász SK;0.0;1.0;5000.0
1970-1971;19.0;1971.03.28;14:30;Felső Tisza-parti Stadion;Szegedi EOL;Videoton SC;1.0;1.0;4000.0
1970-1971;19.0;1971.03.28;15:30;PVSK Stadion;Pécsi Dózsa SC;Rába Vasas ETO;1.0;0.0;7000.0
1970-1971;19.0;1971.03.28;15:30;Bányász Stadion;Tatabányai Bányász SC;Csepel SC;2.0;0.0;7000.0
1970-1971;19.0;1971.03.28;15:30;Honvéd-pálya;Budapesti Honvéd SE;Salgótarjáni BTC;5.0;4.0;8000.0
1970-1971;19.0;1971.03.28;15:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Újpesti Dózsa SC;0.0;0.0;15000.0
1970-1971;18.0;1971.03.20;15:30;Sóstói Stadion;Videoton SC;Budapesti Honvéd SE;0.0;1.0;10000.0
1970-1971;18.0;1971.03.21;11:00;Béke téri Stadion;Csepel SC;Szegedi EOL;5.0;0.0;3000.0
1970-1971;18.0;1971.03.21;14:30;Népstadion;Ferencvárosi TC;Szombathelyi Haladás VSE;3.0;0.0;20000.0
1970-1971;18.0;1971.03.21;15:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Újpesti Dózsa SC;0.0;1.0;20000.0
1970-1971;18.0;1971.03.21;15:30;Bányász Stadion;Komlói Bányász SK;Dunaújvárosi Kohász SE;2.0;2.0;5000.0
1970-1971;18.0;1971.03.21;15:30;Kohász Stadion;Salgótarjáni BTC;MTK;1.0;0.0;10000.0
1970-1971;18.0;1971.03.21;15:30;Vagongyári pálya;Rába Vasas ETO;Tatabányai Bányász SC;1.0;0.0;8000.0
1970-1971;18.0;1971.03.21;15:30;Fáy utcai Stadion;Vasas SC;Pécsi Dózsa SC;2.0;1.0;13000.0
1970-1971;17.0;1971.03.13;15:00;Honvéd-pálya;Budapesti Honvéd SE;Csepel SC;1.0;1.0;4000.0
1970-1971;17.0;1971.03.13;15:00;Megyeri úti Stadion;Újpesti Dózsa SC;Komlói Bányász SK;3.0;0.0;3000.0
1970-1971;17.0;1971.03.13;15:00;PVSK Stadion;Pécsi Dózsa SC;Ferencvárosi TC;0.0;0.0;8000.0
1970-1971;17.0;1971.03.14;11:00;Hungária körúti Stadion;MTK;Videoton SC;2.0;1.0;5000.0
1970-1971;17.0;1971.03.14;15:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Szombathelyi Haladás VSE;1.0;0.0;9000.0
1970-1971;17.0;1971.03.14;15:00;Bányász Stadion;Tatabányai Bányász SC;Vasas SC;0.0;0.0;10000.0
1970-1971;17.0;1971.03.14;15:00;Felső Tisza-parti Stadion;Szegedi EOL;Rába Vasas ETO;1.0;2.0;6000.0
1970-1971;17.0;1971.03.14;15:00;Kohász Stadion;Dunaújvárosi Kohász SE;Salgótarjáni BTC;0.0;0.0;3000.0
1970-1971;16.0;1971.03.06;15:00;Vagongyári pálya;Rába Vasas ETO;Budapesti Honvéd SE;3.0;0.0;2000.0
1970-1971;16.0;1971.03.06;17:00;Béke téri Stadion;Csepel SC;MTK;1.0;1.0;3000.0
1970-1971;16.0;1971.03.07;15:00;Bányász Stadion;Komlói Bányász SK;Diósgyőri Vasgyárak TK;1.0;0.0;3000.0
1970-1971;16.0;1971.03.07;15:00;Kohász Stadion;Salgótarjáni BTC;Újpesti Dózsa SC;2.0;1.0;8000.0
1970-1971;16.0;1971.03.07;15:00;Sóstói Stadion;Videoton SC;Dunaújvárosi Kohász SE;1.0;1.0;4500.0
1970-1971;16.0;1971.03.07;15:00;Fáy utcai Stadion;Vasas SC;Szegedi EOL;5.0;0.0;2500.0
1970-1971;16.0;1971.03.07;15:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Pécsi Dózsa SC;0.0;0.0;5000.0
1970-1971;16.0;1971.03.07;15:00;Népstadion;Ferencvárosi TC;Tatabányai Bányász SC;3.0;0.0;14000.0
1970-1971;15.0;1970.11.28;13:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Ferencvárosi TC;1.0;1.0;20000.0
1970-1971;15.0;1970.11.28;13:30;Sóstói Stadion;Videoton SC;Csepel SC;0.0;0.0;5000.0
1970-1971;15.0;1970.11.28;16:00;Megyeri úti Stadion;Újpesti Dózsa SC;Pécsi Dózsa SC;5.0;1.0;7000.0
1970-1971;15.0;1970.11.29;13:30;Kohász Stadion;Salgótarjáni BTC;Rába Vasas ETO;3.0;0.0;5000.0
1970-1971;15.0;1970.11.29;13:30;Bányász Stadion;Komlói Bányász SK;Vasas SC;0.0;1.0;3500.0
1970-1971;15.0;1970.11.29;13:30;Kohász Stadion;Dunaújvárosi Kohász SE;Tatabányai Bányász SC;1.0;3.0;2000.0
1970-1971;15.0;1970.11.29;13:30;Hungária körúti Stadion;MTK;Szegedi EOL;2.0;0.0;4000.0
1970-1971;15.0;1970.11.29;13:30;Kispesti Pálya;Budapesti Honvéd SE;Szombathelyi Haladás VSE;3.0;0.0;4000.0
1970-1971;14.0;1970.11.21;13:30;Honvéd-pálya;Budapesti Honvéd SE;MTK;1.0;3.0;4000.0
1970-1971;14.0;1970.11.22;13:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Csepel SC;1.0;1.0;3000.0
1970-1971;14.0;1970.11.22;13:30;Fáy utcai Stadion;Vasas SC;Salgótarjáni BTC;4.0;1.0;6000.0
1970-1971;14.0;1970.11.22;13:30;Vagongyári pálya;Rába Vasas ETO;Videoton SC;0.0;0.0;3000.0
1970-1971;14.0;1970.11.22;13:30;Felső Tisza-parti Stadion;Szegedi EOL;Dunaújvárosi Kohász SE;2.0;1.0;2000.0
1970-1971;14.0;1970.11.22;13:30;Bányász Stadion;Tatabányai Bányász SC;Újpesti Dózsa SC;2.0;2.0;8000.0
1970-1971;14.0;1970.11.22;13:30;PVSK Stadion;Pécsi Dózsa SC;Diósgyőri Vasgyárak TK;0.0;1.0;5000.0
1970-1971;14.0;1970.11.22;13:30;Népstadion;Ferencvárosi TC;Komlói Bányász SK;3.0;0.0;5000.0
1970-1971;13.0;1970.11.07;13:30;Bányász Stadion;Tatabányai Bányász SC;MTK;3.0;0.0;4000.0
1970-1971;13.0;1970.11.07;16:30;Béke téri Stadion;Csepel SC;Salgótarjáni BTC;2.0;2.0;2000.0
1970-1971;13.0;1970.11.08;10:30;Népstadion;Ferencvárosi TC;Újpesti Dózsa SC;2.0;2.0;8000.0
1970-1971;13.0;1970.11.08;13:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Videoton SC;1.0;1.0;4500.0
1970-1971;13.0;1970.11.08;13:30;Fáy utcai Stadion;Vasas SC;Diósgyőri Vasgyárak TK;6.0;0.0;4000.0
1970-1971;13.0;1970.11.08;13:30;Vagongyári pálya;Rába Vasas ETO;Komlói Bányász SK;1.0;0.0;3000.0
1970-1971;13.0;1970.11.08;13:30;Felső Tisza-parti Stadion;Szegedi EOL;Budapesti Honvéd SE;0.0;6.0;4000.0
1970-1971;13.0;1970.11.08;13:30;PVSK Stadion;Pécsi Dózsa SC;Dunaújvárosi Kohász SE;3.0;0.0;4000.0
1970-1971;12.0;1970.10.31;13:30;Bányász Stadion;Komlói Bányász SK;Pécsi Dózsa SC;1.0;1.0;4000.0
1970-1971;12.0;1970.10.31;16:30;Megyeri úti Stadion;Újpesti Dózsa SC;Szegedi EOL;5.0;1.0;8000.0
1970-1971;12.0;1970.11.01;10:45;Kohász Stadion;Salgótarjáni BTC;Ferencvárosi TC;0.0;1.0;8000.0
1970-1971;12.0;1970.11.01;13:30;Vagongyári pálya;Rába Vasas ETO;Csepel SC;1.0;0.0;3000.0
1970-1971;12.0;1970.11.01;13:30;Sóstói Stadion;Videoton SC;Vasas SC;0.0;0.0;12000.0
1970-1971;12.0;1970.11.01;13:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Tatabányai Bányász SC;1.0;0.0;7000.0
1970-1971;12.0;1970.11.01;13:30;Kohász Stadion;Dunaújvárosi Kohász SE;Budapesti Honvéd SE;0.0;1.0;3000.0
1970-1971;12.0;1970.11.01;13:30;Hungária körúti Stadion;MTK;Szombathelyi Haladás VSE;3.0;3.0;3000.0
1970-1971;11.0;1970.10.24;14:00;Hungária körúti Stadion;MTK;Vasas SC;2.0;1.0;8000.0
1970-1971;11.0;1970.10.24;16:30;Megyeri úti Stadion;Újpesti Dózsa SC;Csepel SC;1.0;0.0;8000.0
1970-1971;11.0;1970.10.25;14:00;Bányász Stadion;Komlói Bányász SK;Salgótarjáni BTC;2.0;2.0;4000.0
1970-1971;11.0;1970.10.25;14:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Videoton SC;2.0;2.0;8000.0
1970-1971;11.0;1970.10.25;14:00;Kohász Stadion;Dunaújvárosi Kohász SE;Rába Vasas ETO;2.0;3.0;1500.0
1970-1971;11.0;1970.10.25;14:00;Felső Tisza-parti Stadion;Szegedi EOL;Pécsi Dózsa SC;0.0;0.0;2000.0
1970-1971;11.0;1970.10.25;14:00;Bányász Stadion;Tatabányai Bányász SC;Szombathelyi Haladás VSE;2.0;0.0;4000.0
1970-1971;11.0;1970.10.25;14:00;Honvéd-pálya;Budapesti Honvéd SE;Ferencvárosi TC;1.0;1.0;20000.0
1970-1971;10.0;1970.10.17;14:00;PVSK Stadion;Pécsi Dózsa SC;Tatabányai Bányász SC;0.0;0.0;4000.0
1970-1971;10.0;1970.10.18;10:30;Fáy utcai Stadion;Vasas SC;Budapesti Honvéd SE;0.0;1.0;7000.0
1970-1971;10.0;1970.10.18;14:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Komlói Bányász SK;2.0;0.0;4000.0
1970-1971;10.0;1970.10.18;14:00;Vagongyári pálya;Rába Vasas ETO;MTK;1.0;1.0;5000.0
1970-1971;10.0;1970.10.18;14:00;Béke téri Stadion;Csepel SC;Dunaújvárosi Kohász SE;3.0;0.0;2000.0
1970-1971;10.0;1970.10.18;14:00;Sóstói Stadion;Videoton SC;Újpesti Dózsa SC;2.0;1.0;10000.0
1970-1971;10.0;1970.10.18;14:00;Kohász Stadion;Salgótarjáni BTC;Diósgyőri Vasgyárak TK;4.0;0.0;8000.0
1970-1971;10.0;1970.10.18;14:00;Népstadion;Ferencvárosi TC;Szegedi EOL;4.0;0.0;6000.0
1970-1971;9.0;1970.10.14;14:30;Kohász Stadion;Salgótarjáni BTC;Videoton SC;1.0;2.0;6000.0
1970-1971;9.0;1970.10.14;14:30;Bányász Stadion;Komlói Bányász SK;Csepel SC;1.0;2.0;4000.0
1970-1971;9.0;1970.10.14;14:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Rába Vasas ETO;1.0;0.0;8000.0
1970-1971;9.0;1970.10.14;14:30;Hungária körúti Stadion;MTK;Pécsi Dózsa SC;1.0;1.0;4000.0
1970-1971;9.0;1970.10.14;14:30;Honvéd-pálya;Budapesti Honvéd SE;Tatabányai Bányász SC;3.0;1.0;3000.0
1970-1971;9.0;1970.10.14;14:30;Felső Tisza-parti Stadion;Szegedi EOL;Szombathelyi Haladás VSE;3.0;0.0;2000.0
1970-1971;9.0;1970.10.14;14:30;Kohász Stadion;Dunaújvárosi Kohász SE;Ferencvárosi TC;1.0;3.0;10000.0
1970-1971;9.0;1970.10.14;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;Vasas SC;3.0;1.0;17000.0
1970-1971;8.0;1970.10.10;14:30;Fáy utcai Stadion;Vasas SC;Dunaújvárosi Kohász SE;6.0;1.0;6000.0
1970-1971;8.0;1970.10.10;17:00;Béke téri Stadion;Csepel SC;Diósgyőri Vasgyárak TK;1.0;1.0;3000.0
1970-1971;8.0;1970.10.11;14:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Salgótarjáni BTC;1.0;2.0;10000.0
1970-1971;8.0;1970.10.11;14:30;Vagongyári pálya;Rába Vasas ETO;Újpesti Dózsa SC;2.0;1.0;6000.0
1970-1971;8.0;1970.10.11;14:30;Sóstói Stadion;Videoton SC;Komlói Bányász SK;0.0;3.0;7000.0
1970-1971;8.0;1970.10.11;14:30;Bányász Stadion;Tatabányai Bányász SC;Szegedi EOL;4.0;1.0;2000.0
1970-1971;8.0;1970.10.11;14:30;PVSK Stadion;Pécsi Dózsa SC;Budapesti Honvéd SE;0.0;0.0;8000.0
1970-1971;8.0;1970.10.11;14:30;Népstadion;Ferencvárosi TC;MTK;0.0;1.0;30000.0
1970-1971;7.0;1970.09.19;15:30;Fáy utcai Stadion;Vasas SC;Csepel SC;4.0;0.0;12000.0
1970-1971;7.0;1970.09.20;15:00;PVSK Stadion;Pécsi Dózsa SC;Salgótarjáni BTC;0.0;0.0;5000.0
1970-1971;7.0;1970.09.20;15:30;Hungária körúti Stadion;MTK;Dunaújvárosi Kohász SE;2.0;2.0;6000.0
1970-1971;7.0;1970.09.20;15:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Rába Vasas ETO;2.0;1.0;10000.0
1970-1971;7.0;1970.09.20;15:30;Honvéd-pálya;Budapesti Honvéd SE;Újpesti Dózsa SC;0.0;0.0;22000.0
1970-1971;7.0;1970.09.20;15:30;Felső Tisza-parti Stadion;Szegedi EOL;Diósgyőri Vasgyárak TK;0.0;1.0;4000.0
1970-1971;7.0;1970.09.20;15:30;Bányász Stadion;Tatabányai Bányász SC;Komlói Bányász SK;1.0;2.0;4000.0
1970-1971;7.0;1970.09.20;15:30;Népstadion;Ferencvárosi TC;Videoton SC;2.0;0.0;6000.0
1970-1971;6.0;1970.09.12;16:00;Sóstói Stadion;Videoton SC;Pécsi Dózsa SC;1.0;0.0;8000.0
1970-1971;6.0;1970.09.12;18:00;Megyeri úti Stadion;Újpesti Dózsa SC;MTK;3.0;2.0;22000.0
1970-1971;6.0;1970.09.12;18:30;Béke téri Stadion;Csepel SC;Ferencvárosi TC;0.0;0.0;15000.0
1970-1971;6.0;1970.09.13;10:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Budapesti Honvéd SE;3.0;1.0;5000.0
1970-1971;6.0;1970.09.13;16:00;Vagongyári pálya;Rába Vasas ETO;Vasas SC;1.0;2.0;6000.0
1970-1971;6.0;1970.09.13;16:00;Kohász Stadion;Salgótarjáni BTC;Tatabányai Bányász SC;3.0;1.0;5000.0
1970-1971;6.0;1970.09.13;16:00;Bányász Stadion;Komlói Bányász SK;Szegedi EOL;4.0;1.0;4000.0
1970-1971;6.0;1970.09.13;16:00;Kohász Stadion;Dunaújvárosi Kohász SE;Szombathelyi Haladás VSE;0.0;3.0;3000.0
1970-1971;5.0;1970.08.26;16:30;Honvéd-pálya;Budapesti Honvéd SE;Komlói Bányász SK;4.0;1.0;8000.0
1970-1971;5.0;1970.09.02;16:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Vasas SC;2.0;3.0;15000.0
1970-1971;5.0;1970.09.02;16:00;Kohász Stadion;Dunaújvárosi Kohász SE;Újpesti Dózsa SC;0.0;0.0;12000.0
1970-1971;5.0;1970.09.02;16:00;Hungária körúti Stadion;MTK;Diósgyőri Vasgyárak TK;4.0;1.0;3000.0
1970-1971;5.0;1970.09.02;16:00;Felső Tisza-parti Stadion;Szegedi EOL;Salgótarjáni BTC;1.0;1.0;3000.0
1970-1971;5.0;1970.09.02;16:00;Bányász Stadion;Tatabányai Bányász SC;Videoton SC;1.0;1.0;4000.0
1970-1971;5.0;1970.09.02;16:00;PVSK Stadion;Pécsi Dózsa SC;Csepel SC;2.0;2.0;8000.0
1970-1971;5.0;1970.09.02;16:00;Népstadion;Ferencvárosi TC;Rába Vasas ETO;1.0;2.0;10000.0
1970-1971;4.0;1970.08.29;16:30;Béke téri Stadion;Csepel SC;Tatabányai Bányász SC;0.0;1.0;4000.0
1970-1971;4.0;1970.08.29;19:00;Népstadion;Vasas SC;Ferencvárosi TC;2.0;0.0;25000.0
